img_src,link_addr,product_name
https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1336186656571724-51d678a9-a8a8-43fa-9619-0e54b39faaa3.jpg,https://www.coupang.com/vp/products/7893057219?itemId=22395890078&vendorItemId=89440810283&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"종근당건강 락토핏 당케어 60p, 120g, 2개"
https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/39924307973769-4d170462-83ad-46c7-913b-0340314bd22e.jpg,https://www.coupang.com/vp/products/6654766761?itemId=15613010702&vendorItemId=3006697063&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"블루다이아몬드 아몬드 브리즈 오리지널, 190ml, 24개"
https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1237954167000478-5b27108a-ee70-4e14-b605-181191a57bcb.jpg,https://www.coupang.com/vp/products/5829376555?itemId=10083400939&vendorItemId=77366283081&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"양반 현미밥, 130g, 24개"
https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1044190816457-327ac1b1-7f0e-4517-bf6e-0fb3347ec312.jpg,https://www.coupang.com/vp/products/188172341?itemId=537362338&vendorItemId=4403158550&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"도드람 한돈 1등급 삼겹살 구이용 (냉장), 1kg, 1개"
https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5161357680464030-9bbf81d0-db15-483d-8abe-6f615ad4af12.jpg,https://www.coupang.com/vp/products/7243169805?itemId=18408472765&vendorItemId=85551002416&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"곰곰 통살 닭가슴살 데리야끼맛 (냉동), 100g, 10개"
https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/07742180-2259-41c3-ad45-4679de8f06453208987145219837730.png,https://www.coupang.com/vp/products/7458574176?itemId=19435449072&vendorItemId=88267040697&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"미주라 토스트 비스켓, 320g, 2개"
https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/525990012775751-2b654f97-e5ae-493b-80f7-6aff65e94b01.png,https://www.coupang.com/vp/products/7778920952?itemId=21019294050&vendorItemId=76203425758&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"립톤 아이스티 믹스 복숭아맛, 14g, 150개입, 1개"
https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/209723476859760-5324caab-f797-4bb4-8514-677a975512a8.jpg,https://www.coupang.com/vp/products/62459363?itemId=40180764&vendorItemId=82487795501&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"올리오 데체코 엑스트라 버진 올리브유, 1L, 1개"
https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/13/18/9/801c4a11-3540-40a2-9b4f-2159b9ea4d0d.jpg,https://www.coupang.com/vp/products/6994730066?itemId=17131031145&vendorItemId=84304151476&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"미트코리아 오겹살 수육용 덩어리 (냉동), 1개, 2kg"
https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1865031565540724-250932ad-ba1e-4c25-936e-87174f678765.jpg,https://www.coupang.com/vp/products/7735518590?itemId=20797927043&vendorItemId=87867153243&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"펩시 콜라 제로슈가 라임향, 355ml, 24개"
https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5210/844f9fda81e6d17c33ea9a526b30d849844ab9ecc5e45cd9d5387c410ca5.png,https://www.coupang.com/vp/products/7525033092?itemId=14489521215&vendorItemId=86983928385&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"맥심 모카골드 마일드 커피믹스, 12g, 250개입, 1개"
https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1255657437810883-050a2edc-ac53-4e08-9ac4-43fbb49d761d.jpg,https://www.coupang.com/vp/products/329389373?itemId=45238591&vendorItemId=3006266834&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"블루다이아몬드 아몬드 브리즈 언스위트, 950ml, 10개"
https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/345397618876332-734a668c-a22c-495c-b1a1-0c7b7d965efa.jpg,https://www.coupang.com/vp/products/5092859?itemId=20153239950&vendorItemId=4408655485&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"동원 쎈쿡 100% 발아현미밥, 195g, 24개"
https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1832588503665780-dfbeb730-77b3-4455-a26b-fe31fc9cd40b.jpg,https://www.coupang.com/vp/products/1628662667?itemId=11049206816&vendorItemId=78328735918&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"하림 닭볶음탕용 닭고기 2개입 (냉장), 2000g, 1개"
https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1322566301444924-f7cc1b42-d842-4b24-a082-00b6019c36ee.jpg,https://www.coupang.com/vp/products/2049791020?itemId=20758222787&vendorItemId=87828443596&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"한양식품 꽃보다 오징어, 230g, 2팩"
https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1250274854851946-28f9e3ed-09ec-4a87-8f31-1b2b79d49a67.jpg,https://www.coupang.com/vp/products/8070667404?itemId=22715368966&vendorItemId=89030660568&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"닥터블릿 푸응 팻버닝 CLA 공액 리놀레산 18g, 30정, 1개"
